City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
576,Chiang Mai,TH,80.67,few clouds,18.75,99.0,Centara Riverside Hotel Chiangmai
577,Novo Cruzeiro,BR,82.62,broken clouds,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
582,Betare Oya,CM,79.41,light rain,5.6,14.0833,Auberge Tembina Betaré Oya
586,Le Robert,MQ,87.85,overcast clouds,14.6775,-60.9392,HARMONY HEBERGEMENT
587,Sola,VU,80.01,overcast clouds,-13.8833,167.55,Leumerus Bungalows
597,Durg,IN,75.38,overcast clouds,21.1833,81.2833,MAITRI HOSTEL
603,Nishihara,JP,77.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
605,Bac Lieu,VN,81.68,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
609,Vanimo,PG,77.99,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
614,Le Mee-Sur-Seine,FR,81.93,clear sky,48.5316,2.6283,ibis Melun
615,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
618,Sisophon,KH,81.43,overcast clouds,13.5859,102.9737,Pyramid Hotel
619,Planaltina,BR,83.07,scattered clouds,-15.4528,-47.6142,Afrodite Motel Planaltina GO
622,Bitung,ID,76.05,scattered clouds,1.4451,125.1824,K2 Lembeh
623,Sand Springs,US,84.7,clear sky,36.1398,-96.1089,Magnuson Hotel Sand Springs-Tulsa West
624,Davidson,US,83.07,scattered clouds,36.1501,-86.7833,Best Western Plus Music Row
626,Robertsport,LR,81.39,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
628,Zlobin,HR,76.15,few clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
629,Auki,SB,76.01,clear sky,-8.7676,160.7034,Auki Motel
634,La Palma,US,83.97,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
635,Mangai,CD,84.79,clear sky,-4.05,19.5333,
638,Kieta,PG,77.9,light rain,-6.2167,155.6333,Uruna Bay Retreat
640,Riverton,US,87.17,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
641,Gazli,UZ,82.96,clear sky,40.1333,63.45,
643,Assomada,CV,80.15,few clouds,15.1,-23.6833,Residencial Cosmos
644,Sokur,RU,75.56,broken clouds,55.2093,83.319,Gostinitsa Svetlana
645,Aripuana,BR,76.21,overcast clouds,-9.1667,-60.6333,
649,Zabol,AF,78.69,overcast clouds,32.25,67.25,
650,Lorca,ES,86.54,clear sky,37.6712,-1.7017,Jardines De Lorca
