City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Tagbac,PH,2022-06-11 00:30:29,7.089,125.1567,80.96,73,46,1.74
220,Itarema,BR,2022-06-11 00:30:29,-2.9248,-39.9167,75.85,89,27,9.42
221,Rivadavia,AR,2022-06-11 00:30:29,-33.1905,-68.4608,45.07,42,9,5.66
222,Sivaki,RU,2022-06-11 00:30:30,52.6333,126.75,77.31,30,12,4.16
223,Maningrida,AU,2022-06-11 00:30:30,-12.0667,134.2667,76.39,45,48,11.36
224,Torbay,CA,2022-06-11 00:30:30,47.6666,-52.7314,61.29,96,100,24.16
225,Ugoofaaru,MV,2022-06-11 00:30:31,5.6667,73.0,82.15,77,69,12.3
226,Varhaug,NO,2022-06-11 00:30:31,58.6147,5.6457,55.47,83,49,11.83
227,Gaoual,GN,2022-06-11 00:30:31,11.75,-13.2,72.0,94,100,6.73
228,Poum,NC,2022-06-11 00:30:32,-20.2333,164.0167,75.56,79,98,18.9
229,General Roca,AR,2022-06-11 00:30:32,-39.0333,-67.5833,43.63,36,1,7.85
230,Santa Isabel Do Rio Negro,BR,2022-06-11 00:30:33,-0.4139,-65.0192,74.17,96,100,1.72
231,Goundam,ML,2022-06-11 00:30:33,16.4145,-3.6708,94.84,8,0,6.26
232,Cabo San Lucas,MX,2022-06-11 00:27:07,22.8909,-109.9124,89.91,40,0,8.05
233,Salekhard,RU,2022-06-11 00:30:33,66.53,66.6019,59.27,80,100,7.34
234,Yarada,IN,2022-06-11 00:30:34,17.65,83.2667,86.32,67,100,12.64
235,Naukot,PK,2022-06-11 00:30:34,24.8587,69.4024,82.92,70,0,14.38
236,Conceicao Do Araguaia,BR,2022-06-11 00:30:34,-8.2578,-49.2647,79.34,55,100,2.21
237,Tungor,RU,2022-06-11 00:30:35,53.3808,142.9564,52.43,66,66,18.3
238,Perth,AU,2022-06-11 00:30:06,-31.9333,115.8333,63.19,96,75,11.5
239,Parga,GR,2022-06-11 00:28:46,39.2831,20.3964,66.74,75,51,4.41
240,Voyinka,UA,2022-06-11 00:30:35,45.8699,33.9914,64.35,90,13,5.35
241,Sauda,NO,2022-06-11 00:30:35,59.6506,6.3542,54.09,89,78,5.46
242,Hay River,CA,2022-06-11 00:30:36,60.8156,-115.7999,66.18,48,75,6.91
243,Constitucion,CL,2022-06-11 00:30:36,-35.3333,-72.4167,51.93,55,0,4.88
